review,rating,tanggal,sentimen,review_clean,text_final
mantap,5,2026-04-15 03:58:37,Positif,mantap,bagus
bgus siip lh,5,2026-04-15 03:55:54,Positif,bgus siip lh,bgus siip lh
apeli kasih tidak bisa di buka,3,2026-04-15 03:55:02,Netral,apeli kasih tidak bisa di buka,apel kasih buka
dangat menyesal,1,2026-04-15 03:51:37,Negatif,dangat menyesal,dangat sesal
knp pembekuan paylater sy sdh 1 THN LBH msh dibekukan...,5,2026-04-15 03:50:53,Positif,knp pembekuan paylater sy sdh thn lbh msh dibekukan,beku paylater thn beku
Puas dan Senang berbelanja di Shopee... Shopee keren👍👍👍,5,2026-04-15 03:49:10,Positif,puas dan senang berbelanja di shopee shopee keren,puas senang belanja bagus
iklan shopee di apk lain maksa banget anj,1,2026-04-15 03:48:28,Negatif,iklan shopee di apk lain maksa banget anj,iklan apk lain maksa anj
murahhh murah barangg nyy,4,2026-04-15 03:47:52,Positif,murahhh murah barangg nyy,murahhh murah barangg nyy
"memudahkan untk belanja kebutuhan hari""... trimakasih shopee... 👍👍👍 semoga kedepan nya tambah amanah... sukses selalu .... 🥰🥰🥰",5,2026-04-15 03:45:09,Positif,memudahkan untk belanja kebutuhan hari trimakasih shopee semoga kedepan nya tambah amanah sukses selalu,mudah untk belanja butuh hari trimakasih moga depan nya tambah amanah sukses
aplikasi nya bagus,1,2026-04-15 03:38:33,Negatif,aplikasi nya bagus,nya bagus
pengembalian barang begitu cepat dan mudah,5,2026-04-15 03:38:31,Positif,pengembalian barang begitu cepat dan mudah,kembali barang begitu cepat mudah
"memiliki banyak gratis ongkir, hanya saja fitur cod di batasi..",5,2026-04-15 03:37:15,Positif,memiliki banyak gratis ongkir hanya saja fitur cod di batasi,milik banyak gratis ongkir hanya fitur cod batas
mantap keren banyak promo dan banyak hal menarik lain nya barang Realpict,5,2026-04-15 03:34:07,Positif,mantap keren banyak promo dan banyak hal menarik lain nya barang realpict,bagus bagus banyak promo banyak tarik lain nya barang realpict
"sebenarnya tdk ada masalah dg marketplacenya. hanya saja untuk pengiriman di area saya sangat lama sekali semenjak kurirnya risen. akibatnya banyak orderan yg harus saya cancel karena kondimen yg saya pesan datangnya lama sekali. biasanya pengiriman paling lama 3-4 hari tapi ini sampai seminggu lebih tdk dikirim jg. padahal sudah sampai di drop point terakhir di kota saya. mengapa tidak segera merekrut kurir baru agar tdk overload dipengirimannya? fyi saya ada di pangolangan, burneh, bangkalan.",1,2026-04-15 03:31:50,Negatif,sebenarnya tdk ada masalah dg marketplacenya hanya saja untuk pengiriman di area saya sangat lama sekali semenjak kurirnya risen akibatnya banyak orderan yg harus saya cancel karena kondimen yg saya pesan datangnya lama sekali biasanya pengiriman paling lama hari tapi ini sampai seminggu lebih tdk dikirim jg padahal sudah sampai di drop point terakhir di kota saya mengapa tidak segera merekrut kurir baru agar tdk overload dipengirimannya fyi saya ada di pangolangan burneh bangkalan,benar masalah marketplacenya hanya kirim area lama semenjak kurir risen akibat banyak order cancel kondimen pesan datang lama biasa kirim paling lama hari sampai minggu kirim padahal sampai drop point akhir kota mengapa segera rekrut kurir baru overload kirim fyi pangolangan burneh bangkal
sangat membantu saya dalam bertransaksi.,5,2026-04-15 03:30:17,Positif,sangat membantu saya dalam bertransaksi,bantu transaksi
bikin enek . setiap slide buat kembali pasti larinya ke live . jadi seperti sampah dan mengganggu .. tidak nyaman.,3,2026-04-15 03:27:37,Netral,bikin enek setiap slide buat kembali pasti larinya ke live jadi seperti sampah dan mengganggu tidak nyaman,bikin enek tiap slide kembali pasti lari live jadi seperti sampah ganggu nyaman
"Mau lihat live selalu tidak bisa karena tertulis jaringan host tidak stabil, padahal kolom komentar lancar terus, membingungkan",2,2026-04-15 03:27:12,Negatif,mau lihat live selalu tidak bisa karena tertulis jaringan host tidak stabil padahal kolom komentar lancar terus membingungkan,ingin lihat live tulis jaring host stabil padahal kolom komentar lancar terus bingung
aplikasi paling aktif dipakai buat belanja belanji apa aja adaa,5,2026-04-15 03:25:44,Positif,aplikasi paling aktif dipakai buat belanja belanji apa aja adaa,paling aktif pakai belanja banji adaa
"lama banget pesan makanan atau instant di aplikasi ini mah, selalu di gabung sama pesanan lain mending pesan di gojek aja gak pake lama..",1,2026-04-15 03:24:08,Negatif,lama banget pesan makanan atau instant di aplikasi ini mah selalu di gabung sama pesanan lain mending pesan di gojek aja gak pake lama,lama pesan makan instant mah gabung pesan lain mending pesan gojek pake lama
sangat suka😍,5,2026-04-15 03:22:56,Positif,sangat suka,suka
"terima kasih boskuh barangnya akhirnya sampai,sesuai pesanan jugak, tp yg bayrin bukan saya, org rumah, GK jadi dikembalikan🙂🙏",5,2026-04-15 03:21:42,Positif,terima kasih boskuh barangnya akhirnya sampai sesuai pesanan jugak tp yg bayrin bukan saya org rumah gk jadi dikembalikan,terima kasih boskuh barang akhir sampai sesuai pesan jugak tapi bayrin bukan org rumah jadi kembali
baguss cuman klo harga nya kn sekian tapi tiba tiba pas di cod beda hargaa yaudah emng gitu mungkin tapi pas dtng nya eh malah beda harga lagi yang di cod nya harga segini giliran uda di antar beda lagii gmn sih,4,2026-04-15 03:21:16,Positif,baguss cuman klo harga nya kn sekian tapi tiba tiba pas di cod beda hargaa yaudah emng gitu mungkin tapi pas dtng nya eh malah beda harga lagi yang di cod nya harga segini giliran uda di antar beda lagii gmn sih,baguss cuman klo harga nya kn sekian tiba tiba pas cod beda hargaa yaudah emng gitu mungkin pas dtng nya eh malah beda harga cod nya harga gin gilir uda antar beda lagi sih
"halo tolong sampaikan ke Team Kreator ataupun marketing. jangan menggunakan kata kata Penting untuk notifikasi diluar dari kebutuhan sebenarnya. ini kurang sopan. tolong dibantu direview. dan bayangkan jika hp anda ada notifikasi ""penting"" diperjalanan menyempatkan untuk berhenti, atau di tol kalian terpaksa liat HP. ? dan isinya hanya notifikasi kreator yang belum dewasa ini. tidakkah kalian bisa pahami?",1,2026-04-15 03:19:09,Negatif,halo tolong sampaikan ke team kreator ataupun marketing jangan menggunakan kata kata penting untuk notifikasi diluar dari kebutuhan sebenarnya ini kurang sopan tolong dibantu direview dan bayangkan jika hp anda ada notifikasi penting diperjalanan menyempatkan untuk berhenti atau di tol kalian terpaksa liat hp dan isinya hanya notifikasi kreator yang belum dewasa ini tidakkah kalian bisa pahami,halo tolong sampai team kreator atau marketing jangan guna kata kata penting notifikasi luar butuh benar kurang sopan tolong bantu direview bayang hp notifikasi penting jalan sempat henti tol kalian paksa liat hp isi hanya notifikasi kreator dewasa tidak kalian paham
