review_asli,review_clean,review_normalized,rating,label,tanggal
mantap,mantap,bagus/memuaskan,5,Positif,2026-04-15 03:58:37
bgus siip lh,bgus siip lh,bgus siip lh,5,Positif,2026-04-15 03:55:54
apeli kasih tidak bisa di buka,apeli kasih tidak bisa di buka,apeli kasih tidak bisa di buka,3,Netral,2026-04-15 03:55:02
dangat menyesal,dangat menyesal,dangat menyesal,1,Negatif,2026-04-15 03:51:37
knp pembekuan paylater sy sdh 1 THN LBH msh dibekukan...,knp pembekuan paylater sy sdh thn lbh msh dibekukan,knp pembekuan paylater sy sudah thn lbh msh dibekukan,5,Positif,2026-04-15 03:50:53
Puas dan Senang berbelanja di Shopee... Shopee keren👍👍👍,puas dan senang berbelanja di shopee shopee keren,puas dan senang berbelanja di shopee shopee keren,5,Positif,2026-04-15 03:49:10
iklan shopee di apk lain maksa banget anj,iklan shopee di apk lain maksa banget anj,iklan shopee di apk lain maksa banget anj,1,Negatif,2026-04-15 03:48:28
murahhh murah barangg nyy,murahhh murah barangg nyy,murahhh murah barangg nyy,4,Positif,2026-04-15 03:47:52
"memudahkan untk belanja kebutuhan hari""... trimakasih shopee... 👍👍👍 semoga kedepan nya tambah amanah... sukses selalu .... 🥰🥰🥰",memudahkan untk belanja kebutuhan hari trimakasih shopee semoga kedepan nya tambah amanah sukses selalu,memudahkan untk belanja kebutuhan hari trimakasih shopee semoga kedepan nya tambah amanah sukses selalu,5,Positif,2026-04-15 03:45:09
aplikasi nya bagus,aplikasi nya bagus,aplikasi nya bagus,1,Negatif,2026-04-15 03:38:33
pengembalian barang begitu cepat dan mudah,pengembalian barang begitu cepat dan mudah,pengembalian barang begitu cepat dan mudah,5,Positif,2026-04-15 03:38:31
"memiliki banyak gratis ongkir, hanya saja fitur cod di batasi..",memiliki banyak gratis ongkir hanya saja fitur cod di batasi,memiliki banyak gratis ongkos kirim hanya saja fitur Cash on Delivery (bayar di tempat) di batasi,5,Positif,2026-04-15 03:37:15
mantap keren banyak promo dan banyak hal menarik lain nya barang Realpict,mantap keren banyak promo dan banyak hal menarik lain nya barang realpict,bagus/memuaskan keren banyak promosi/diskon dan banyak hal menarik lain nya barang realpict,5,Positif,2026-04-15 03:34:07
"sebenarnya tdk ada masalah dg marketplacenya. hanya saja untuk pengiriman di area saya sangat lama sekali semenjak kurirnya risen. akibatnya banyak orderan yg harus saya cancel karena kondimen yg saya pesan datangnya lama sekali. biasanya pengiriman paling lama 3-4 hari tapi ini sampai seminggu lebih tdk dikirim jg. padahal sudah sampai di drop point terakhir di kota saya. mengapa tidak segera merekrut kurir baru agar tdk overload dipengirimannya? fyi saya ada di pangolangan, burneh, bangkalan.",sebenarnya tdk ada masalah dg marketplacenya hanya saja untuk pengiriman di area saya sangat lama sekali semenjak kurirnya risen akibatnya banyak orderan yg harus saya cancel karena kondimen yg saya pesan datangnya lama sekali biasanya pengiriman paling lama hari tapi ini sampai seminggu lebih tdk dikirim jg padahal sudah sampai di drop point terakhir di kota saya mengapa tidak segera merekrut kurir baru agar tdk overload dipengirimannya fyi saya ada di pangolangan burneh bangkalan,sebenarnya tdk ada masalah dg marketplacenya hanya saja untuk pengiriman di area saya sangat lama sekali semenjak kurirnya risen akibatnya banyak orderan yg harus saya cancel karena kondimen yg saya pesan datangnya lama sekali biasanya pengiriman paling lama hari tapi ini sampai seminggu lebih tdk dikirim juga padahal sudah sampai di drop point terakhir di kota saya mengapa tidak segera merekrut kurir baru agar tdk overload dipengirimannya fyi saya ada di pangolangan burneh bangkalan,1,Negatif,2026-04-15 03:31:50
sangat membantu saya dalam bertransaksi.,sangat membantu saya dalam bertransaksi,sangat membantu saya dalam bertransaksi,5,Positif,2026-04-15 03:30:17
