review,rating,tanggal
mantap,5,2026-04-15 03:58:37
bgus siip lh,5,2026-04-15 03:55:54
apeli kasih tidak bisa di buka,3,2026-04-15 03:55:02
dangat menyesal,1,2026-04-15 03:51:37
knp pembekuan paylater sy sdh 1 THN LBH msh dibekukan...,5,2026-04-15 03:50:53
Puas dan Senang berbelanja di Shopee... Shopee keren👍👍👍,5,2026-04-15 03:49:10
iklan shopee di apk lain maksa banget anj,1,2026-04-15 03:48:28
murahhh murah barangg nyy,4,2026-04-15 03:47:52
"memudahkan untk belanja kebutuhan hari""... trimakasih shopee... 👍👍👍 semoga kedepan nya tambah amanah... sukses selalu .... 🥰🥰🥰",5,2026-04-15 03:45:09
aplikasi nya bagus,1,2026-04-15 03:38:33
pengembalian barang begitu cepat dan mudah,5,2026-04-15 03:38:31
"memiliki banyak gratis ongkir, hanya saja fitur cod di batasi..",5,2026-04-15 03:37:15
mantap keren banyak promo dan banyak hal menarik lain nya barang Realpict,5,2026-04-15 03:34:07
"sebenarnya tdk ada masalah dg marketplacenya. hanya saja untuk pengiriman di area saya sangat lama sekali semenjak kurirnya risen. akibatnya banyak orderan yg harus saya cancel karena kondimen yg saya pesan datangnya lama sekali. biasanya pengiriman paling lama 3-4 hari tapi ini sampai seminggu lebih tdk dikirim jg. padahal sudah sampai di drop point terakhir di kota saya. mengapa tidak segera merekrut kurir baru agar tdk overload dipengirimannya? fyi saya ada di pangolangan, burneh, bangkalan.",1,2026-04-15 03:31:50
sangat membantu saya dalam bertransaksi.,5,2026-04-15 03:30:17
bikin enek . setiap slide buat kembali pasti larinya ke live . jadi seperti sampah dan mengganggu .. tidak nyaman.,3,2026-04-15 03:27:37
"Mau lihat live selalu tidak bisa karena tertulis jaringan host tidak stabil, padahal kolom komentar lancar terus, membingungkan",2,2026-04-15 03:27:12
aplikasi paling aktif dipakai buat belanja belanji apa aja adaa,5,2026-04-15 03:25:44
"lama banget pesan makanan atau instant di aplikasi ini mah, selalu di gabung sama pesanan lain mending pesan di gojek aja gak pake lama..",1,2026-04-15 03:24:08
sangat suka😍,5,2026-04-15 03:22:56
"terima kasih boskuh barangnya akhirnya sampai,sesuai pesanan jugak, tp yg bayrin bukan saya, org rumah, GK jadi dikembalikan🙂🙏",5,2026-04-15 03:21:42
baguss cuman klo harga nya kn sekian tapi tiba tiba pas di cod beda hargaa yaudah emng gitu mungkin tapi pas dtng nya eh malah beda harga lagi yang di cod nya harga segini giliran uda di antar beda lagii gmn sih,4,2026-04-15 03:21:16
"halo tolong sampaikan ke Team Kreator ataupun marketing. jangan menggunakan kata kata Penting untuk notifikasi diluar dari kebutuhan sebenarnya. ini kurang sopan. tolong dibantu direview. dan bayangkan jika hp anda ada notifikasi ""penting"" diperjalanan menyempatkan untuk berhenti, atau di tol kalian terpaksa liat HP. ? dan isinya hanya notifikasi kreator yang belum dewasa ini. tidakkah kalian bisa pahami?",1,2026-04-15 03:19:09
"buka app shopee jangan langsung arahkan ke video default, berat app ini. g99 saja gak kuat",1,2026-04-15 03:19:05
woi shopee Klo mesen shopeefood jgn cepet bgt lah ga bisa dicancel lagi.,1,2026-04-15 03:18:31
ol,5,2026-04-15 03:15:01
"no, m m wx kj mi faas. , )9)3 km. no mm waiisk mm m ada mk 🤩zz e .nnjaww aaaabs xe Nn di a no mm",4,2026-04-15 03:14:31
Trmksh barang barang udh di terima,5,2026-04-15 03:12:59
6 di mana TV m,1,2026-04-15 03:11:23
biaya pengiriman murah belanja aman dengan shopee,5,2026-04-15 03:06:40
bagus,5,2026-04-15 03:06:09
"kecewa banget paket belum dikirim² padahal sudah lewat estimasi yang seharusnya,, seharusnya paket saya datang ditanggal 11 bulan april tapi sampe sekarang belum tau keberadaan paket saya dimana, padahal paket itu saya butuhkan sekali sampe sekarang masih stcuk diperjalanan blm ada konfirmasi apakah sudah sampe di Dc selanjutnya benar² mengecewakan",1,2026-04-15 03:05:21
sangat membantu,5,2026-04-15 03:04:48
lemottt,1,2026-04-15 03:03:20
sekarang jadi males pake nya karna yah 2 kali dapet kurir dengan kejadian yg kurang mengenak kan,4,2026-04-15 03:02:01
"Makin kesini makin mahal.. Trs udah 3 hari ini lagi pake aplikasi lain, malah tiba² dialihkan ke shopee dan ke toko skintific.. Ga bs diskip.. Parah.. Ganggu aktivitas aja 👎🏻👎🏻👎🏻",1,2026-04-15 02:57:40
Hingga saat ini sy msh setia dgn aplikasi ini (shoopee) karena sy anggap baik dalam system dan pelayanannya selama ini.,5,2026-04-15 02:56:13
Apk shopee ini berguna banget💯💯,5,2026-04-15 02:52:10
aplikasi BEJAD selalu muncul di website fiks ngemis,1,2026-04-15 02:51:31
sering kasih diskon,5,2026-04-15 02:50:13
tolong percepat pesanan orang ongkir gratis tapi sampai 2 Minggu pesanan belum sampai juga..,3,2026-04-15 02:48:33
mantap.,5,2026-04-15 02:46:43
shipee terr de bes👌,5,2026-04-15 02:44:41
mempermudah berbelanja online,5,2026-04-15 02:42:53
SANGAT BAGUS AKU SANGAT SUKA .,5,2026-04-15 02:41:50
suka belanja dishopee,5,2026-04-15 02:39:13
"apk llmyn bagus TPI buat pengembalian dana syulit harus ajubanding dlu,udh seminggu pengembalian dana. gw belum masuk mending 100-200 mah lah 2500 blum masuk""""🙃",2,2026-04-15 02:37:57
Good all produk bykk sale puaaaz bgttttt blanja dishopee..survive sale good all quality produk nonstoop lariisnyaa mksh bykk💞neverdie shopee,5,2026-04-15 02:37:19
selama ini masih is the best,5,2026-04-15 02:36:09
puas,5,2026-04-15 02:35:39
Ok,5,2026-04-15 02:35:09
bagus,5,2026-04-15 02:29:40
pingin belanja tapi apakah harus punya dana di shopee dulu kah??,5,2026-04-15 02:28:57
"makin ribet pengembalian dana harus tunggu ACC dri admin,, Cs berbelit"" menjelaskan mdak bisa menyelesaikan masalah hanya janji , sudah 7x24 jam dana blum kembali",1,2026-04-15 02:28:56
ok mantap,5,2026-04-15 02:28:35
"sebenarnya aplikasinya bagus, sangat membantu, nanmun akhir akhir ini banyak biaya tambahan seperti biaya layanan yang tinggi, padahal harga produk sudah terjangkau dan 1 lagi kenapa kalau buka shoope food alamat pengantarannya bisa tiba tiba berubah, mana jauh sekali 1 km an, untuk orang yang jarang cek alamat saat checkout dan sudah disetting alamat utama jadi bingung sendiri kak, kasian drivernya. kita mau ke titik itu juga sangat jauh bukanya mempermudah malah mempersulit🙏🏻",2,2026-04-15 02:28:12
"uji coba pertama kali, semoga amanah",5,2026-04-15 02:19:46
"belanja di shopee menyenangkan, banyak produk pilihan, dengan harga terjangkau,",5,2026-04-15 02:17:33
